id,source,claim,submitted,release,status,action,evidence
M3-preamble-a,"Supp Method 3, preamble",Starting from 7.4% annotation (LipidSearch alone),7.4%,"POS Grade A/B 11.47%, NEG 8.99%",CHANGED,Restate the LipidSearch-only baseline from this release. Note the submitted 7.4% is a combined-atlas figure; per-mode values differ.,annotation/step1_lipidsearch/step1_coverage_summary.csv
M3-preamble-b,"Supp Method 3, preamble",an eleven-step pipeline achieved 72.3% annotation across the combined atlas,72.3%,"POS 6360/11,371; NEG 1889/5,697 release-eligible after declared Step 4 upgrades and RT exclusions",PENDING,"SIRIUS, DreaMS and MS2LDA evidence is complete. Keep the combined 72.3% claim retired until blocked Steps 6, 7 and 9 are resolved or formally declared exceptions.",annotation/annotation_release_summary.csv
M3-S3-a,"Supp Method 3, Step 3",curated reference ion set size,33-entry (submitted) vs 66-entry (internal v4.9),"50 executable rules: 24 diagnostic fragments, 5 neutral losses, 21 terpenoid fragments across 13 classifier labels; 16 claimed rules unrecovered",CHANGED,Use the 50-rule executable classifier and its staged review-only S3 table. Do not infer the missing 16 rules or substitute the 33-entry literature quick reference.,biomarker_discovery/annotation_local_diagnostic_50rule_authority/stage_manifest.json
M3-S4,"Supp Method 3, Step 4",Two rounds yielded 305 Unidentified-to-Bronze upgrades,305,POS 155 + NEG 98,CHANGED,"Restate per mode. Note only 1441 POS features sit in a non-singleton family, which caps this step.",annotation/step4_family_propagation/step4_summary.csv
M3-S5,"Supp Method 3, Step 5",RT coherence within molecular families; 104 features flagged RT-uncertain,104,POS 11 by family / 97 by class; NEG 23 / 11,UNVERIFIABLE,"No located producer yields 104, and the family-grouped method described cannot approach it because 97% of families hold fewer than four members. Recover the producer or correct the Methods sentence to state the grouping actually used.",annotation/step5_rt_validation/STEP5_REPORT.md
M3-S6,"Supp Method 3, Step 6","1,764 features upgraded to sum composition; 403 downgraded Silver to Bronze","1,764 / 403","Frozen outputs reconcile 980 primary + 784 hybrid = 1,764; 403 hybrid predictions have C > 60, but the historical final table removes all 784 hybrid predictions. Approved replacement POS v1 stages 1 medium-confidence candidate review-only and changes no tier.",UNVERIFIABLE,"The Mac recovery confirms the exact POS caller and five-feature contract are absent. Treat 1,764/403 as historical-output counts only and do not claim that only 403 were removed. Keep approved replacement v1 separate; its single candidate remains review-only unless a later tier-action policy is explicitly approved.",biomarker_discovery/rt_prediction_recovery_pos/stage_manifest.json; annotation/step6_rt_prediction_pos_v1_review_only/stage_manifest.json
M3-S7,"Supp Method 3, Step 7",124-entry archaeal reference searched at 20 ppm; 9 credible matches,124 entries / 9 matches,not run,UNVERIFIABLE,"The 124-entry custom database is absent from the package entirely. This is separate from the external ArchLips library, which is present.",ANNOTATION_PROGRESS.md
M3-S8-a,"Supp Method 3, Step 8 / Method 7",Archaeal Gold+Silver rate improved from 3.9% to 21.3%,3.9% -> 21.3% (over 895 features),368 of 1333 POS archaeal = 27.6% after RT screen (406 before),CHANGED,Restate with the RT-screened value and the new denominator. Do not present as confirming 21.3%; the feature sets differ.,annotation/step8_archlips_rt_filtered/
M3-S8-b,"Supp Method 3, Step 8","Euryarchaeota 15 to 638, Methanobacteriota 0 to 276, Crenarchaeota 188 to 289, Thermoproteota 692 to 787",four phylum counts,Euryarchaeota and Crenarchaeota are retired labels under taxonomy_policy.json; strict archaeal set is Methanobacteriota + Thermoproteota only,DEAD_LABEL,"Rewrite this sentence entirely. Euryarchaeota/Halobacteriota map to Methanobacteriota and Crenarchaeota to Thermoproteota, so the before/after framing no longer parses.",paper2_repro/config/taxonomy_policy.json; biomarker_discovery/archlips_assignments_strict.csv
M3-S8-c,"Supp Method 3, Step 8",negative-mode archaeal ArchLips annotation,implied validated,0 Gold+Silver over 21 NEG archaeal features; 0 diagnostic ions and 0 neutral losses across all 21 spectra,UNVERIFIABLE,Do not claim validated negative-mode archaeal annotation. The 10 Bronze calls rest on mass accuracy and detection rate alone.,annotation/step8_archlips/STEP8_REPORT.md
M3-S9,"Supp Method 3, Step 9",564 Silver to Bronze; 640 Unidentified to Bronze; 12 Gold corrected,564 / 640 / 12,"External-evidence depth audit complete for POS 11,371 and NEG 5,697 strict features; historical tier-transition action rules not located",UNVERIFIABLE,Do not reproduce or replace 564/640/12 from evidence availability alone. Recover the historical action producer or define and approve a new versioned rule.,biomarker_discovery/external_annotation_results/integration_review_only/; annotation_recovery_neg/integration_review_only/
M3-S10,"Supp Method 3, Step 10","SIRIUS on 9,772 spectra: 4,787 formulas (49.0%), 4,357 CANOPUS (44.6%), 4,089 CSI:FingerID, 4,258 MSNovelist","9,772 spectra","POS strict: 5865 formulas, 5325 CANOPUS, 5243 CSI; NEG: 3862 / 3495 / 3325",CHANGED,Restate per polarity and partition. Preserve the declared m/z <=850 eligibility denominator and exact retained-cache versus fresh-result provenance.,biomarker_discovery/external_annotation_results/integration_review_only/tool_coverage_by_partition.csv; annotation_recovery_neg/integration_review_only/tool_coverage_by_partition.csv
M3-S11,"Supp Method 3, Step 11","DreaMS on 5,727 spectra; top-1 median 0.787; 88.8% of top-1 hits >= 0.70","5,727 spectra","POS 7095 top-1, median 0.776324, >=0.70 6178; NEG 5695, median 0.721435, >=0.70 3689",CHANGED,Restate per mode and preserve exact retained-cache versus fresh-result provenance. The DreaMS search output has an effective >=0.5 reporting floor.,biomarker_discovery/external_annotation_results/integration_review_only/dreams_similarity_summary.csv; annotation_recovery_neg/integration_review_only/dreams_similarity_summary.csv
M5,Supp Method 5,"MS2LDA applied to 8,595 POS spectra after cleaning (min_frags = 3), k = 300","8,595 POS spectra","POS 10,611 documents; NEG 5,466 documents (from 5,695 input, 229 dropped)",CHANGED,Restate document counts and state the preprocessing drop explicitly.,biomarker_discovery/external_annotation_package/ms2lda_strict_atlas_results/validation.json; annotation_recovery_neg/ms2lda/download_validation.json
M6-T1,"Supp Method 6, Tier 1","8,962 spectra searched; 2,702 (30.1%) detected in public data",30.1%,"RUNNING current-index refresh: POS 1819/7,408 queryable; NEG 1597/5,695 queryable",RUNNING,Wait for both supervised completeness gates and retry rounds. All historical-cache features are being refreshed against the same current index.,biomarker_discovery/external_annotation_package/fastmasst_async_full_20260806/; annotation_recovery_neg/fastmasst_async_full_20260806/
M6-T2,"Supp Method 6, Tier 2","149 soil/environmental datasets; 1,006 composite (11.2%), 755 IndVal (45.8%)",11.2% / 45.8%,Strict POS/NEG Pan-ReDU consumers implemented and readiness-gated; final summaries wait for complete Tier 1 hits,RUNNING,"Run final feature, phylum and kingdom cross-reference immediately after both fastMASST completeness gates pass.",paper2_repro/scripts/build_pan_redu_strict.py; biomarker_discovery/external_annotation_package/pan_redu_current_index_pos/readiness.json; annotation_recovery_neg/pan_redu_current_index/readiness.json
RES-1,Results section 1 (reviewer-flagged passage),"in positive mode, 72% of biomarkers carried some annotation, but only about one in seven reached Gold or Silver; negative mode 48% total, under 7% Gold or Silver",POS 72% / ~1-in-7; NEG 48% / <7%,"POS 6360/11,371 annotated, 1668 Gold+Silver; NEG 1889/5,697, 512 Gold+Silver",PENDING,"This is the passage the reviewer asked to be explained. Rewrite it with final numbers once SIRIUS and Steps 6, 7, 9 resolve, and add the requested biomarker-vs-annotation explanation and tier definitions.",COAUTHOR_PACKAGE_2026-08-03/01_reviewer_comments/reviewer_comments_tracker.md lines 185-188
