file,step,what,size_bytes,sha256,current_location,public_location
consensus_aligned_table_POS.csv,02_features,Aligned feature table positive mode (273248 features x 270 cols),177541675,ef28300dfb6f075c52819ffe7c101c11ef322b6a59c2ba9d0ea020d33abc4f4c,P2R/analysis/analysis-15/03_alignment/consensus_aligned_table.csv,pending Zenodo deposit
consensus_aligned_table_NEG.csv,02_features,Aligned feature table negative mode (122571 features x 207 cols),111391733,71fb530e8db583e172e196bf64cef8ae8fda783021bdec0564061c236fba3752,P2R/analysis/analysis-16/negative_mode/03_alignment/consensus_aligned_table.csv,pending Zenodo deposit
all_cluster_summaries_combined_POS.tsv,02_features,GNPS molecular family info merged across 6 POS batches,179390111,5643c524bf10bec0657310ac1c199caa1ff4ca30993782aaaa1381d227beed57,P2R/external/SOILMASS_PRODUCER_RECOVERY_2026-08-04/payload/core/workspace/analysis/analysis-15/03_alignment/all_cluster_summaries_combined.tsv,pending Zenodo deposit
fbmn_batch_results_POS,02_features,Per-batch FBMN exports x6 (quantification + library matches + clusters + spectra + network),local,see per-batch files,P2R/external/SOILMASS_PRODUCER_RECOVERY_2026-08-04/payload/core/workspace/analysis/FBMN_all_batches_POS/,GNPS2 (task IDs in fbmn_batches_POS.csv)
fbmn_batch_results_NEG,02_features,Per-batch FBMN exports x6 (quantification + library matches + clusters + spectra + network),local,see per-batch files,P2R/external/SOILMASS_PRODUCER_RECOVERY_2026-08-04/payload/core/workspace/analysis/FBMN_all_batches_NEG/,GNPS2 (task IDs in fbmn_batches_NEG.csv)
fastmasst_per_feature_matches_POS,05_public_validation,Per-feature gzip compact match files (complete 2026-08-11; per-feature sha256 in run_manifest_POS.json),~1.4GB,see run manifest,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/biomarker_discovery/external_annotation_package/fastmasst_async_full_20260806/per_feature/,pending Zenodo deposit
fastmasst_per_feature_matches_NEG,05_public_validation,Per-feature gzip compact match files (corrected v2 run complete 2026-08-11; per-feature sha256 in run_manifest_NEG.json),see manifest,see run manifest,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/annotation_recovery_neg/fastmasst_async_neg_v2_20260808/per_feature/,pending Zenodo deposit
sirius_gapfill_POS_mzle850.mgf,04_annotation,SIRIUS gap-fill input spectra POS (2209 features with usable MS2 and m/z<=850),5941610,cce00bab2bce6e9ccf9daf89dae8817d553062f4436cb60dc9d54967746f25a3,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/biomarker_discovery/external_annotation_package/gapfill_2026-08-12/sirius_gapfill_POS_mzle850.mgf,pending Zenodo deposit
sirius_gapfill_NEG_mzle850.mgf,04_annotation,SIRIUS gap-fill input spectra NEG (80 features),165190,57e7482b9ac65392a4ca1db7286ee3d247fe2d1153549663bb56cde079bfd611,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/biomarker_discovery/external_annotation_package/gapfill_2026-08-12/sirius_gapfill_NEG_mzle850.mgf,pending Zenodo deposit
sirius_gapfill_top5_tsvs,04_annotation,SIRIUS gap-fill top-5 candidate TSVs both modes (primary TSVs are in git methods/04_annotation/step10_sirius_gapfill/results/),~32MB,see MANIFEST.json in gapfill folder,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/biomarker_discovery/external_annotation_package/gapfill_2026-08-12/results/,pending Zenodo deposit
simper_atlas.csv,06_fingerprints,Full per-feature SIMPER contribution table strict-16,7410628,f63aa35f30b56bc770c4332c1219db56f9595b4c6dd80417e4db25b0eec05faa,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/simper/simper_atlas.csv,pending Zenodo deposit
simper_curves.csv,06_fingerprints,SIMPER K-vs-recovery curves per phylum,1717403,965c0c9c64085db1095949a97399d4db67f331ce99ef47e9308ae319ef2cd723,P2R/outputs/analysis/ncbi-phylum-2026-08-04-v1/simper/simper_curves.csv,pending Zenodo deposit
